VARIABLES="Frequency (rad/s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Excitation force - beta =   0.000 deg",I=   100,F=POINT
 2.0252  0.518068E+06  0.832150E+04  0.276872E+06  0.841153E+05  0.492519E+07  0.866971E+05  -28.50   -4.97  169.33  -10.45  151.48  -49.13
 2.0655  0.421858E+06  0.836954E+04  0.261471E+06  0.814178E+05  0.415161E+07  0.882835E+05  -41.24    3.76  156.63   -7.03  138.77  -59.86
 2.1058  0.347507E+06  0.849046E+04  0.238167E+06  0.864019E+05  0.354407E+07  0.555683E+05  -55.88   12.07  149.53   -5.66  124.25  -78.34
 2.1461  0.291341E+06  0.922445E+04  0.980491E+05  0.904580E+05  0.306362E+07  0.106916E+06  -72.49   37.72  179.74   22.18  108.04 -171.15
 2.1864  0.238687E+06  0.669806E+04  0.188626E+06  0.511447E+05  0.262332E+07  0.144420E+06  -86.80   61.72   62.61   47.57   93.28 -129.59
 2.2267  0.174069E+06  0.561443E+04  0.203940E+06  0.390308E+05  0.208399E+07  0.113479E+06 -103.09   65.75   60.27   32.05   77.69 -134.06
 2.2670  0.926131E+05  0.622778E+04  0.197837E+06  0.464301E+05  0.138948E+07  0.886844E+05 -121.46   73.55   47.35   31.62   62.73 -148.48
 2.3073  0.897169E+05  0.973942E+04  0.188946E+06  0.761412E+05  0.231342E+06  0.943029E+05   80.83  108.29   31.06   65.54  -65.68 -167.88
 2.3476  0.517907E+06  0.573083E+04  0.181874E+06  0.297579E+05  0.441813E+07  0.666122E+05  130.90 -141.52   14.71 -178.08  -49.33 -164.64
 2.3879  0.340573E+06  0.247144E+04  0.171967E+06  0.181725E+05  0.328832E+07  0.440515E+05  152.49  -82.80   -1.32  -71.49  -27.63  175.88
 2.4282  0.253687E+06  0.271205E+04  0.158807E+06  0.272090E+05  0.260205E+07  0.132068E+05  141.88  -47.92  -16.38  -50.13  -38.03  151.83
